src,snk,sourceOtu,targetOtu,m_width,bandType,sourceDimColors,targetDimColors
812,803,1702,1262,24,0,:0-24:960-964,:0-24:960-964
812,803,1703,1263,24,0,:24-48:960-964,:24-48:960-964
812,803,1704,1264,24,0,:48-72:960-964,:48-72:960-964
812,803,1705,1265,24,0,:72-96:960-964,:72-96:960-964
812,803,1706,1266,24,0,:96-120:960-964,:96-120:960-964
812,803,1707,1267,24,0,:120-144:960-964,:120-144:960-964
812,803,1708,1268,24,0,:144-168:960-964,:144-168:960-964
812,803,1709,1269,24,0,:168-192:960-964,:168-192:960-964
812,803,1710,1270,24,0,:192-216:960-964,:192-216:960-964
812,803,1711,1271,24,0,:216-240:960-964,:216-240:960-964
812,803,1712,1272,24,0,:240-264:960-964,:240-264:960-964
812,803,1713,1273,24,0,:264-288:960-964,:264-288:960-964
812,803,1714,1274,24,0,:288-312:960-964,:288-312:960-964
812,803,1715,1275,24,0,:312-336:960-964,:312-336:960-964
812,803,1716,1276,24,0,:336-360:960-964,:336-360:960-964
812,803,1717,1277,24,0,:360-384:960-964,:360-384:960-964
812,803,1718,1278,24,0,:384-408:960-964,:384-408:960-964
812,803,1719,1279,24,0,:408-432:960-964,:408-432:960-964
812,803,1720,1280,24,0,:432-456:960-964,:432-456:960-964
812,803,1721,1281,24,0,:456-480:960-964,:456-480:960-964
812,803,1722,1282,24,0,:480-504:960-964,:480-504:960-964
812,803,1723,1283,24,0,:504-528:960-964,:504-528:960-964
812,803,1724,1284,24,0,:528-552:960-964,:528-552:960-964
812,803,1725,1285,24,0,:552-576:960-964,:552-576:960-964
812,803,1726,1286,24,0,:576-600:960-964,:576-600:960-964
812,803,1727,1287,24,0,:600-624:960-964,:600-624:960-964
812,803,1728,1288,24,0,:624-648:960-964,:624-648:960-964
812,803,1729,1289,24,0,:648-672:960-964,:648-672:960-964
812,803,1730,1290,24,0,:672-696:960-964,:672-696:960-964
812,803,1731,1291,24,0,:696-720:960-964,:696-720:960-964
812,803,1732,1292,24,0,:720-744:960-964,:720-744:960-964
812,803,1733,1293,24,0,:744-768:960-964,:744-768:960-964
812,803,1734,1294,24,0,:768-792:960-964,:768-792:960-964
812,803,1735,1295,24,0,:792-816:960-964,:792-816:960-964
812,803,1736,1296,24,0,:816-840:960-964,:816-840:960-964
812,803,1737,1297,24,0,:840-864:960-964,:840-864:960-964
812,803,1738,1298,24,0,:864-888:960-964,:864-888:960-964
812,803,1739,1299,24,0,:888-912:960-964,:888-912:960-964
812,803,1740,1300,24,0,:912-936:960-964,:912-936:960-964
812,803,1741,1301,24,0,:936-964,:936-964
822,813,2252,1813,24,0,:0-24:960-964,:0-24:960-964
822,813,2253,1814,24,0,:24-48:960-964,:24-48:960-964
822,813,2254,1815,24,0,:48-72:960-964,:48-72:960-964
822,813,2255,1816,24,0,:72-96:960-964,:72-96:960-964
822,813,2256,1817,24,0,:96-120:960-964,:96-120:960-964
822,813,2257,1818,24,0,:120-144:960-964,:120-144:960-964
822,813,2258,1819,24,0,:144-168:960-964,:144-168:960-964
