Service Index,Failed Edge,Backup Path,Backup Edges
0,"(812, 811)","[812, 821, 810, 809, 808, 807, 806, 805, 804, 803]","[(812, 821), (821, 810), (810, 809), (809, 808), (808, 807), (807, 806), (806, 805), (805, 804), (804, 803)]"
0,"(811, 810)","[812, 811, 820, 809, 808, 807, 806, 805, 804, 803]","[(812, 811), (811, 820), (820, 809), (809, 808), (808, 807), (807, 806), (806, 805), (805, 804), (804, 803)]"
0,"(810, 809)","[812, 811, 810, 819, 808, 807, 806, 805, 804, 803]","[(812, 811), (811, 810), (810, 819), (819, 808), (808, 807), (807, 806), (806, 805), (805, 804), (804, 803)]"
0,"(809, 808)","[812, 811, 810, 809, 818, 807, 806, 805, 804, 803]","[(812, 811), (811, 810), (810, 809), (809, 818), (818, 807), (807, 806), (806, 805), (805, 804), (804, 803)]"
0,"(808, 807)","[812, 811, 810, 809, 808, 817, 806, 805, 804, 803]","[(812, 811), (811, 810), (810, 809), (809, 808), (808, 817), (817, 806), (806, 805), (805, 804), (804, 803)]"
0,"(807, 806)","[812, 811, 810, 809, 808, 807, 816, 805, 804, 803]","[(812, 811), (811, 810), (810, 809), (809, 808), (808, 807), (807, 816), (816, 805), (805, 804), (804, 803)]"
0,"(806, 805)","[812, 811, 810, 809, 808, 807, 806, 815, 804, 803]","[(812, 811), (811, 810), (810, 809), (809, 808), (808, 807), (807, 806), (806, 815), (815, 804), (804, 803)]"
0,"(805, 804)","[812, 811, 810, 809, 808, 807, 806, 805, 814, 803]","[(812, 811), (811, 810), (810, 809), (809, 808), (808, 807), (807, 806), (806, 805), (805, 814), (814, 803)]"
0,"(804, 803)","[812, 811, 810, 809, 808, 807, 806, 805, 814, 803]","[(812, 811), (811, 810), (810, 809), (809, 808), (808, 807), (807, 806), (806, 805), (805, 814), (814, 803)]"
1,"(812, 811)","[812, 821, 810, 809, 808, 807, 806, 805, 804, 803]","[(812, 821), (821, 810), (810, 809), (809, 808), (808, 807), (807, 806), (806, 805), (805, 804), (804, 803)]"
1,"(811, 810)","[812, 811, 820, 809, 808, 807, 806, 805, 804, 803]","[(812, 811), (811, 820), (820, 809), (809, 808), (808, 807), (807, 806), (806, 805), (805, 804), (804, 803)]"
1,"(810, 809)","[812, 811, 810, 819, 808, 807, 806, 805, 804, 803]","[(812, 811), (811, 810), (810, 819), (819, 808), (808, 807), (807, 806), (806, 805), (805, 804), (804, 803)]"
1,"(809, 808)","[812, 811, 810, 809, 818, 807, 806, 805, 804, 803]","[(812, 811), (811, 810), (810, 809), (809, 818), (818, 807), (807, 806), (806, 805), (805, 804), (804, 803)]"
