Service Index,Path,Edges
0,"[812, 811, 810, 809, 808, 807, 806, 805, 804, 803]","[(811, 812), (810, 811), (809, 810), (808, 809), (807, 808), (806, 807), (805, 806), (804, 805), (803, 804)]"
1,"[812, 811, 810, 809, 808, 807, 806, 805, 804, 803]","[(811, 812), (810, 811), (809, 810), (808, 809), (807, 808), (806, 807), (805, 806), (804, 805), (803, 804)]"
2,"[812, 811, 810, 809, 808, 807, 806, 805, 804, 803]","[(811, 812), (810, 811), (809, 810), (808, 809), (807, 808), (806, 807), (805, 806), (804, 805), (803, 804)]"
3,"[812, 811, 810, 809, 808, 807, 806, 805, 804, 803]","[(811, 812), (810, 811), (809, 810), (808, 809), (807, 808), (806, 807), (805, 806), (804, 805), (803, 804)]"
4,"[812, 811, 810, 809, 808, 807, 806, 805, 804, 803]","[(811, 812), (810, 811), (809, 810), (808, 809), (807, 808), (806, 807), (805, 806), (804, 805), (803, 804)]"
5,"[812, 811, 810, 809, 808, 807, 806, 805, 804, 803]","[(811, 812), (810, 811), (809, 810), (808, 809), (807, 808), (806, 807), (805, 806), (804, 805), (803, 804)]"
6,"[812, 811, 810, 809, 808, 807, 806, 805, 804, 803]","[(811, 812), (810, 811), (809, 810), (808, 809), (807, 808), (806, 807), (805, 806), (804, 805), (803, 804)]"
7,"[812, 811, 810, 809, 808, 807, 806, 805, 804, 803]","[(811, 812), (810, 811), (809, 810), (808, 809), (807, 808), (806, 807), (805, 806), (804, 805), (803, 804)]"
8,"[812, 811, 810, 809, 808, 807, 806, 805, 804, 803]","[(811, 812), (810, 811), (809, 810), (808, 809), (807, 808), (806, 807), (805, 806), (804, 805), (803, 804)]"
9,"[812, 811, 810, 809, 808, 807, 806, 805, 804, 803]","[(811, 812), (810, 811), (809, 810), (808, 809), (807, 808), (806, 807), (805, 806), (804, 805), (803, 804)]"
10,"[812, 811, 810, 809, 808, 807, 806, 805, 804, 803]","[(811, 812), (810, 811), (809, 810), (808, 809), (807, 808), (806, 807), (805, 806), (804, 805), (803, 804)]"
11,"[812, 811, 810, 809, 808, 807, 806, 805, 804, 803]","[(811, 812), (810, 811), (809, 810), (808, 809), (807, 808), (806, 807), (805, 806), (804, 805), (803, 804)]"
12,"[812, 811, 810, 809, 808, 807, 806, 805, 804, 803]","[(811, 812), (810, 811), (809, 810), (808, 809), (807, 808), (806, 807), (805, 806), (804, 805), (803, 804)]"
13,"[812, 811, 810, 809, 808, 807, 806, 805, 804, 803]","[(811, 812), (810, 811), (809, 810), (808, 809), (807, 808), (806, 807), (805, 806), (804, 805), (803, 804)]"
14,"[812, 811, 810, 809, 808, 807, 806, 805, 804, 803]","[(811, 812), (810, 811), (809, 810), (808, 809), (807, 808), (806, 807), (805, 806), (804, 805), (803, 804)]"
15,"[812, 811, 810, 809, 808, 807, 806, 805, 804, 803]","[(811, 812), (810, 811), (809, 810), (808, 809), (807, 808), (806, 807), (805, 806), (804, 805), (803, 804)]"
16,"[812, 811, 810, 809, 808, 807, 806, 805, 804, 803]","[(811, 812), (810, 811), (809, 810), (808, 809), (807, 808), (806, 807), (805, 806), (804, 805), (803, 804)]"
17,"[812, 811, 810, 809, 808, 807, 806, 805, 804, 803]","[(811, 812), (810, 811), (809, 810), (808, 809), (807, 808), (806, 807), (805, 806), (804, 805), (803, 804)]"
18,"[812, 811, 810, 809, 808, 807, 806, 805, 804, 803]","[(811, 812), (810, 811), (809, 810), (808, 809), (807, 808), (806, 807), (805, 806), (804, 805), (803, 804)]"
19,"[812, 811, 810, 809, 808, 807, 806, 805, 804, 803]","[(811, 812), (810, 811), (809, 810), (808, 809), (807, 808), (806, 807), (805, 806), (804, 805), (803, 804)]"
20,"[812, 811, 810, 809, 808, 807, 806, 805, 804, 803]","[(811, 812), (810, 811), (809, 810), (808, 809), (807, 808), (806, 807), (805, 806), (804, 805), (803, 804)]"
21,"[812, 811, 810, 809, 808, 807, 806, 805, 804, 803]","[(811, 812), (810, 811), (809, 810), (808, 809), (807, 808), (806, 807), (805, 806), (804, 805), (803, 804)]"
22,"[812, 811, 810, 809, 808, 807, 806, 805, 804, 803]","[(811, 812), (810, 811), (809, 810), (808, 809), (807, 808), (806, 807), (805, 806), (804, 805), (803, 804)]"
