Service Index,Failed Edge,Backup Path,Backup Edges
0,"(811, 812)","[812, 821, 820, 809, 808, 817, 816, 815, 814, 803]","[(812, 821), (820, 821), (809, 820), (808, 809), (808, 817), (816, 817), (815, 816), (814, 815), (803, 814)]"
0,"(810, 811)","[812, 811, 820, 809, 808, 807, 806, 805, 804, 803]","[[811, 812], [811, 820], [809, 820], [808, 809], [807, 808], [806, 807], [805, 806], [804, 805], [803, 804]]"
0,"(809, 810)","[812, 821, 820, 809, 808, 817, 816, 815, 814, 803]","[(812, 821), (820, 821), (809, 820), (808, 809), (808, 817), (816, 817), (815, 816), (814, 815), (803, 814)]"
0,"(808, 809)","[812, 821, 820, 809, 808, 817, 816, 815, 814, 803]","[(812, 821), (820, 821), (809, 820), (808, 809), (808, 817), (816, 817), (815, 816), (814, 815), (803, 814)]"
0,"(807, 808)","[812, 821, 820, 809, 808, 817, 816, 815, 814, 803]","[(812, 821), (820, 821), (809, 820), (808, 809), (808, 817), (816, 817), (815, 816), (814, 815), (803, 814)]"
0,"(806, 807)","[812, 821, 820, 809, 808, 817, 816, 815, 814, 803]","[(812, 821), (820, 821), (809, 820), (808, 809), (808, 817), (816, 817), (815, 816), (814, 815), (803, 814)]"
0,"(805, 806)","[812, 821, 820, 809, 808, 817, 816, 815, 814, 803]","[(812, 821), (820, 821), (809, 820), (808, 809), (808, 817), (816, 817), (815, 816), (814, 815), (803, 814)]"
0,"(804, 805)","[812, 821, 820, 809, 808, 817, 816, 815, 814, 803]","[(812, 821), (820, 821), (809, 820), (808, 809), (808, 817), (816, 817), (815, 816), (814, 815), (803, 814)]"
0,"(803, 804)","[812, 821, 820, 809, 808, 817, 816, 815, 814, 803]","[(812, 821), (820, 821), (809, 820), (808, 809), (808, 817), (816, 817), (815, 816), (814, 815), (803, 814)]"
0,"(812, 821)","[812, 821, 820, 809, 808, 817, 816, 815, 814, 803]","[(812, 821), (820, 821), (809, 820), (808, 809), (808, 817), (816, 817), (815, 816), (814, 815), (803, 814)]"
